EventID,EventText,Option1Text,Option1Type,Option1Value,Option2Text,Option2Type,Option2Value,Option3Text,Option3Type,Option3Value,Option4Text,Option4Type,Option4Value,CooldownDays,MaxPerMonth,CompanyType
13, Frying oil becomes more expensive, Accept (Resources cost +10), Resourcen,10, Bulk purchase (-1200 money. Resources cost -3), Gesamtgeld,-1200, Raise prices (Products cost +6), Produkte,6, Adjust menu (Products cost -3), Produkte,-3,14,3, Foodtruck
14, Generator at location malfunctioning, Rent (-600 money), Gesamtgeld,-600, Buy (Machine cost +10), Maschinengeld,10, Continue working (Machine Durability -3), MaschinenHaltbarkeit,-3, Change location (Products cost -4), Produkte,-4,14,3, Foodtruck
15, Social media hype. More demand, Raise prices (Products cost +8), Produkte,8, Buy more (Resources cost +6), Resourcen,6, Run ads (-700 money), Gesamtgeld,-700, Cooling box upgrade (Machine cost +4), Maschinengeld,4,10,4, Foodtruck
16, Fuel costs rise temporarily, Bear costs (-500 money), Gesamtgeld,-500, Save ingredients (Resources cost -3), Resourcen,-3, Adjust prices (Products cost +4), Produkte,4, Delay maintenance (Machine Durability -2), MaschinenHaltbarkeit,-2,10,4, Foodtruck
17, New packaging regulation increases costs, Accept (Resources cost +8), Resourcen,8, Raise prices (Products cost+5), Produkte,5, Bulk order (-900. Resources cost -2), Gesamtgeld,-900, Simpler packaging (Products cost -2), Produkte,-2,20,2, Foodtruck
18, Cooling unit gets louder, Service (-1100 money), Gesamtgeld,-1100, Spare parts (Machine cost +7), Maschinengeld,7, Keep running (Machine Durability -4), MaschinenHaltbarkeit,-4, Operate carefully (Machine Durability -2), MaschinenHaltbarkeit,-2,14,3, Foodtruck
19, Competitor lowers prices nearby, Match prices (Products cost -8), Produkte,-8, Increase quality (Resources cost +4), Resourcen,4, New menu (-600 money), Gesamtgeld,-600, Equipment upgrade (Machine cost +6), Maschinengeld,6,14,3, Foodtruck
20, Rush hour. Not enough ingredients purchased, Emergency purchase (-500 money), Gesamtgeld,-500, Expensive purchase (Resources cost +8), Resourcen,8, Raise prices (Products cost +5), Produkte,5, Smaller portions (Products cost -3), Produkte,-3,7,4, Foodtruck
21, Cloud provider increases prices, Accept (Resources cost +20), Resourcen,20, Pass prices to customers (Products cost +12), Produkte,12, Absorb costs (-1500 money), Gesamtgeld,-1500, Hardware alternative (Machine cost +8), Maschinengeld,8,20,2, IT Manager
22, Traffic spike. Scaling required, Autoscale (Resources cost +15), Resourcen,15, Raise prices (Products cost +8), Produkte,8, Throttle performance (Products cost -6), Produkte,-6, Edge server (Machine cost +10), Maschinengeld,10,10,4, IT Manager
23, Server maintenance contract expires, Renew (-1800 money), Gesamtgeld,-1800, Self-operation (Machine Durability -3), MaschinenHaltbarkeit,-3, New hardware (Machine cost +16), Maschinengeld,16, Raise prices (Products cost +5), Produkte,5,21,2, IT Manager
24, License costs increase, Pay (Resources cost +10), Resourcen,10, Open source (Products cost -4), Produkte,-4, Absorb costs (-900 money), Gesamtgeld,-900, Workstations (Machine cost +5), Maschinengeld,5,14,3, IT Manager
25, Storage system shows errors, Replace (Machine cost +20), Maschinengeld,20, Maintenance (-1300 money), Gesamtgeld,-1300, Keep running (Machine Durability -5), MaschinenHaltbarkeit,-5, More cloud storage (Resources cost +12), Resourcen,12,25,2, IT Manager
26, Price comparison forces adjustment, Lower prices (Products cost -10), Produkte,-10, Marketing (-600 money), Gesamtgeld,-600, Optimize costs (Resources cost -6), Resourcen,-6, Infrastructure (Machine cost +8), Maschinengeld,8,14,3, IT Manager
27, Support tickets increase sharply, Support budget (-1000 money), Gesamtgeld,-1000, Tooling (Machine cost +6), Maschinengeld,6, Self service (Products cost +3), Produkte,3, Ignore tickets (Products cost -6), Produkte,-6,14,3, IT Manager
28, Monitoring must be renewed, Buy tool (-1200), Gesamtgeld,-1200, More resources (Resources +6), Resourcen,6, Postpone (Products -3), Produkte,-3, Hardware upgrade (Machine money +7), Maschinengeld,7,21,2, IT Manager
29, Database is undersized, Upgrade (Machine cost +14), Maschinengeld,14, More cloud (Resources cost +10), Resourcen,10, Raise prices (Products cost +6), Produkte,6, Absorb costs (-800 money), Gesamtgeld,-800,14,3, IT Manager
30, Hardware wear increases, Spare parts (Machine cost +9), Maschinengeld,9, Maintenance (-700 money), Gesamtgeld,-700, Ignore (Machine Durability -2), MaschinenHaltbarkeit,-2, Optimize (Resources cost -4), Resourcen,-4,10,4, IT Manager
31, Wood prices increase, Accept (Resources cost +25), Resourcen,25, Raise prices (Products cost +12), Produkte,12, Stop discount (Products cost +4), Produkte,4, Advance purchase (-2000 money. Resources cost -6), Gesamtgeld,-2000,14,3, CraftBusiness
32, CNC machine needs parts, Buy parts (Machine cost +16), Maschinengeld,16, Repair (-1500 money), Gesamtgeld,-1500, Continue working (Machine Durability -4), MaschinenHaltbarkeit,-4, Maintenance later (Machine Durability -2), MaschinenHaltbarkeit,-2,20,2, CraftBusiness
33, Energy prices in workshop increase, Bear costs (-900 money), Gesamtgeld,-900, Raise prices (Products cost +8), Produkte,8, Efficiency (Machine cost +6), Maschinengeld,6, Economy mode (Products cost -4), Produkte,-4,14,3, CraftBusiness
34, Large order. Faster production needed, More shifts (-1200 money), Gesamtgeld,-1200, Machines faster (Durability cost -3), MaschinenHaltbarkeit,-3, Raise prices (Products cost +10), Produkte,10, Advance materials (Resources cost +8), Resourcen,8,10,4, CraftBusiness
35, Tool wear higher, Buy tools (Machine cost +10), Maschinengeld,10, Maintenance (-800 money), Gesamtgeld,-800, Continue working (Machine Durability -2), MaschinenHaltbarkeit,-2, Save materials (Resources cost -4), Resourcen,-4,14,3, CraftBusiness
36, Supplier offers bulk discount, Bulk purchase (-3500 money), Gesamtgeld,-3500, Discount (Resources cost -6), Resourcen,-6, Lower prices (Products cost -5), Produkte,-5, No change (+0 money), Gesamtgeld,0,21,2, CraftBusiness
37, Misproduction causes waste, Reproduce (-1400 money), Gesamtgeld,-1400, Control (Machine cost +4), Maschinengeld,4, Save materials (Resources cost -3), Resourcen,-3, Give discount (Products cost -6), Produkte,-6,10,4, CraftBusiness
38, Machine running rough. Adjustment needed, Adjust (-500 money), Gesamtgeld,-500, Spare parts (Machine cost +7), Maschinengeld,7, Keep running (Machine Durability -3), MaschinenHaltbarkeit,-3, Throttle (Products cost -4), Produkte,-4,14,3, CraftBusiness
39, Protective clothing and consumables more expensive, Accept (Resources cost +8), Resourcen,8, Raise prices (Products cost +4), Produkte,4, One-time purchase (-600 money), Gesamtgeld,-600, Machine upgrade (Machine cost +5), Maschinengeld,5,14,3, CraftBusiness
40, New machine on offer. Limited time, Buy (-5000 money), Gesamtgeld,-5000, Spare parts only (Machine cost +6), Maschinengeld,6, Decline (+0 money), Gesamtgeld,0, Improve maintenance (Machine Durability +2), MaschinenHaltbarkeit,2,30,1, CraftBusiness
